Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Indy Plunge Cutout;Women's Medium-Support Padded Sports Bra;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/05dee03b-9fad-4d7c-9c89-8be617d57a33/indy-plunge-cutout-womens-medium-support-padded-sports-bra-WsnzTx.png;$48;$38.97;19%;Sustainable Materials
Nike One;"Women's Dri-FIT Fitness Ultra High-Waisted 3"" Brief-Lined Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6c628001-9027-474b-ac04-2b7031046893/one-womens-dri-fit-fitness-ultra-high-waisted-3-brief-lined-shorts-3hFL7n.png;$45;$36.97;18%;Sustainable Materials
Nike Pro Dri-FIT;Men's Slim Fit Sleeveless Top;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a4dc0b61-a84b-4c72-aa10-97d465d187b2/pro-dri-fit-mens-slim-fit-sleeveless-top-xzN4WR.png;$28;$22.97;18%;Sustainable Materials
Nike Sportswear Club;Men's Cargo Shorts;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a3b538c7-5752-4f91-9013-472ba5bbf439/sportswear-club-mens-cargo-shorts-mcX0rZ.png;$50;$40.97;18%;
Nike Sportswear Club Fleece;Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7583acef-88e5-4231-9451-7bd93cc2f7a7/sportswear-club-fleece-pullover-hoodie-Gw4Nwq.png;$60;$48.97;18%;Best Seller
Nike Sportswear Club Fleece;Joggers;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/998419b7-ab64-4d50-ae04-870ca77c1ed4/sportswear-club-fleece-joggers-KflRdQ.png;$55;$44.97;18%;Best Seller
Nike Sportswear Essential;Women's Oversized Short-Sleeve Top (Plus Size);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ebc40909-ec83-4b4f-9203-ccc7263327cc/sportswear-essential-womens-oversized-short-sleeve-top-plus-size-xbVzj6.png;$30;$24.97;17%;Sustainable Materials
Nike Sportswear Club Fleece;Women's Mid-Rise Shorts (Plus Size);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/45f6a67a-35bd-4d29-ab47-fa96cadf5e65/sportswear-club-fleece-womens-mid-rise-shorts-plus-size-nMsSJv.png;$45;$36.97;18%;
Nike Sportswear Club;Big Kids' Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3a726a4b-b052-42b3-9fd6-ae4dddfc66f1/sportswear-club-big-kids-pullover-hoodie-vSJb5s.png;$45;$36.97;18%;Best Seller
Nike Sportswear Club Fleece;Big Kids’ (Boys’) Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2a368e85-d751-460e-a4be-201803296987/sportswear-club-fleece-big-kids-boys-pants-sfKXMD.png;$45;$36.97;18%;
