Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Tanjun;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/37fc92a8-7dc4-45ad-a01e-8616bdf0aeff/tanjun-womens-shoes-lj1St1.png;$70;$56.97;81%;Sustainable Materials
Nike Court Vision Low;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ddwdvqore2oxdnbtfbvd/court-vision-low-womens-shoes-KPB597.png;$75;$60.97;81%;
Nike Victori One;Men's Slides;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c622ef79-4ab0-4183-b83f-8f4d2ea10dac/victori-one-mens-slides-vrTGLL.png;$35;$28.97;83%;
Nike Court Vision Low Next Nature;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/706e54b6-9360-4760-817d-86bba495f2e5/court-vision-low-next-nature-mens-shoes-M967RF.png;$75;$60.97;81%;Sustainable Materials
Nike Waffle Debut;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c4b5a2cb-5fbf-4ad6-bfc9-348eb9b9b15d/waffle-debut-womens-shoes-5Rl1KL.png;$75;$60.97;81%;
Nike Air Max SYSTM;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1fd718e6-9817-411e-be32-5d3559149ec0/air-max-systm-womens-shoes-Cz5zxV.png;$100;$80.97;81%;
Nike Court Vision Low Next Nature;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fd82ca7e-b9d1-4759-a6b6-760985d86996/court-vision-low-next-nature-womens-shoes-ZkMMBG.png;$75;$63.97;85%;Sustainable Materials
Nike Air Force 1 '07 Mid;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/92511553-5c5c-4da6-96da-96a51dc701ed/air-force-1-07-mid-womens-shoes-2NP34w.png;$120;$102.97;86%;
Nike Air Max 97;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fcf0e10a-630a-413c-8920-7383a89a76a6/air-max-97-mens-shoes-LJmK45.png;$175;$129.97;74%;
Air Jordan 1 Mid;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/13cc7b1a-ed74-4d94-ae72-06c3ba27241c/air-jordan-1-mid-mens-shoes-b3js2D.png;$125;$106.97;86%;Best Seller
